post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available
Cariboo Archers (Williams Lake Sportsmen's Association),admin,Club,,920 Bond Lake Road,Williams Lake,British Columbia,Canada,V2G 2V2,52.1293,-122.1397,250-392-9695,al.campsall@gmail.com,https://wlsa.ca/caribooarchers/,Indoor and outdoor ranges at WLSA. Wed 7 PM and Sun 2 PM sessions. JOP Thu evenings. Ladies' archery lessons. WLSA membership (approx $10-$11/mo) + Cariboo Archers fee. $30 JOP fee.,archery;club;indoor;outdoor;cariboo,Wed 7 PM; Sun 2 PM; JOP Thu,N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$10-$11/mo,N/A,Yes,Yes,$30 JOP,Compound; Recurve; Traditional,Yes,Yes
Nanaimo Fish and Game Club (Archery Division),admin,Club,,1325 Nanaimo Lakes Rd,Nanaimo,British Columbia,Canada,V9X 1X8,49.1350,-124.0100,250-754-2846,,https://nanaimofishandgameclub.com/,NEW LISTING. Multi-use shooting facility with indoor 20-yard heated archery range and outdoor range. Five nights a week indoor archery during winter. Club established 1905. Drop-in $20/session.,archery;club;indoor;outdoor;vancouver island;nanaimo,Indoor: 5 nights/week (winter); Outdoor: daylight hours,,20,,Both,Unknown,Unknown,Unknown,No,,$20,No,No,,All,Unknown,Yes
Campbell River Fish and Wildlife Club (Archery Section),admin,Club,,2641 Campbell River Rd,Campbell River,British Columbia,Canada,V9W 4P1,50.0244,-125.2475,250-203-7140,,https://crfishandwildlifeclub.ca/,NEW LISTING. Archery facilities bordering Elk Falls Provincial Park. 3D archery course with life-size foam animal targets. Beginner instruction Mondays 6-7 PM. Archery access 7 AM-10 PM daily. $125/year archery access fee plus club membership.,archery;club;outdoor;3D;vancouver island;campbell river,7:00 AM - 10:00 PM daily; Beginners Mon 6-7 PM,,,,Outdoor,Unknown,Yes,Yes,Yes,$125,,No,Yes,Beginner instruction included,All,Unknown,Yes
Pacific Archery Academy,admin,Range,,7449 West Saanich Rd,Saanichton,British Columbia,Canada,V8M 1R3,48.6302,-123.4252,250-415-1130,info@pacificarcherybc.com,https://www.pacificarcherybc.com/,"NEW LISTING. Expert-led archery academy founded in 2017 offering classes for youth, adults, and families. NCCP Certified Coaches. Weekly outdoor range at school field. Serves Victoria, Langford, and Saanichton. Classes $200. Equipment rental $10.",archery;lessons;outdoor;vancouver island;victoria;saanichton,Contact for schedule,,,,Outdoor,Unknown,Unknown,Unknown,No,,$10 equipment rental,Yes,Yes,$200/class,Recurve; Compound; Traditional,Unknown,Yes
Salmon Arm Fish & Game Club (Archery Section),admin,Club,,3200 70th St SE,Salmon Arm,British Columbia,Canada,V1E 4P9,50.6700,-119.2500,250-517-7482,info@safgc.ca,https://safgc.ca/,"NEW LISTING. Active community club with seasonal indoor and outdoor archery ranges plus 3D field courses. 75-metre outdoor range in summer, indoor range in winter. Scheduled shooting 7 AM-9 PM. Hosts 3D archery shoots.",archery;club;indoor;outdoor;3D;shuswap;salmon arm,7:00 AM - 9:00 PM daily,,82,,Both,Unknown,Yes,Yes,No,,,No,No,,All,Unknown,Yes
Vernon Fish and Game Club (Archery Section),admin,Club,,202 Bardolph Lake Forest Service Road,Vernon,British Columbia,Canada,V1T 6M4,50.2670,-119.2720,250-547-1442,info@vernonfishandgame.ca,https://vernonfishandgame.ca/,NEW LISTING. Multi-use shooting facility 4 km from Highway 6 near Lavington with dedicated archery bag course and practice range. Hosts public events including National Range Day.,archery;club;outdoor;okanagan;vernon,Contact club for hours,,,,Outdoor,Unknown,Unknown,Unknown,No,,,No,No,,All,Unknown,Yes
Central Okanagan Archery Club,admin,Club,,,Kelowna,British Columbia,Canada,,49.8880,-119.4960,,,https://www.facebook.com/Central-Okanagan-Archery-Club-268644980684757/,NEW LISTING. Not-for-profit outdoor archery field for practice in the Kelowna area. Limited public information available; contact via Facebook.,archery;club;outdoor;okanagan;kelowna,Contact club,,,,Outdoor,Unknown,Unknown,Unknown,Yes,,,No,No,,All,Unknown,Unknown
Okanagan Khanate Mounted Archery (OKMA),admin,Club,,,Kelowna,British Columbia,Canada,,49.9560,-119.3780,250-899-4344,okanagan.khanate@gmail.com,https://www.okkma.ca/,NEW LISTING. Specialized mounted (horseback) archery sports club founded in 2021 offering instruction from beginner ground archers to competitive mounted competitors under HARCAN. Weekly practices Wednesdays at 5:30 PM near Kelowna airport.,archery;club;outdoor;mounted archery;horseback;okanagan;kelowna,Wed 5:30 PM,,,,Outdoor,No,No,No,Yes,,,No,Yes,Contact club,Traditional,No,Yes
Hope Rod & Gun Club (Archery Section),admin,Club,,25905 Trans-Canada Highway,Hope,British Columbia,Canada,V0X 1L0,49.3781,-121.4420,604-869-9225,archery@hbcrgc.org,https://hbcrgc.org/,"NEW LISTING. Members-only shooting facility with indoor archery range. Summer hours 8 AM-8 PM, winter 8 AM-4 PM. Non-member guests $5 range time + $5 day pass. Currently not accepting new memberships.",archery;club;indoor;fraser valley;hope,Summer 8 AM-8 PM; Winter 8 AM-4 PM,,20,,Indoor,Unknown,No,No,Yes,,$10,No,No,,All,Unknown,Yes
Mission & District Rod & Gun Club (Archery Section),admin,Club,,10969 Dewdney Trunk Rd,Mission,British Columbia,Canada,V4S 1L1,49.2134,-122.3056,604-826-6515,,https://missionrodandgun.com/,"NEW LISTING. Private members club featuring a highly regarded 40-target 3D archery trail, considered one of the best in the Fraser Valley. Open 9 AM to dusk, 7 days/week. Multiple shooting disciplines available.",archery;club;outdoor;3D;fraser valley;mission,"9 AM to dusk, 7 days/week",,,40,Both,Unknown,Yes,Yes,Yes,,,No,No,,All,Unknown,Yes
Lake Windermere District Rod & Gun Club (Archery Range),admin,Club,,Rauch Homestead Shooting Range,Invermere,British Columbia,Canada,,50.5180,-116.0480,250-342-3010,info@lwdrodgun.com,https://lwdrodgun.com/,"NEW LISTING. Community shooting facility with 100+ year history serving the Columbia Valley. Static archery range 15-60 yards plus 15-target 3D course set up seasonally from early May. Members $4/day, non-members $10/day. Equipment rental $10/day.",archery;club;outdoor;3D;kootenays;invermere,Dawn to dusk; Volunteers Sun/Wed 6-8 PM (May-Aug),,15-60,15,Outdoor,No,Yes,No,No,,$4-$10,Yes,No,,All,Unknown,Yes
Golden District Rod & Gun Club (Archery Section),admin,Club,,1710 Blaeberry River Rd,Golden,British Columbia,Canada,V0A 1H0,51.4238,-117.0624,250-344-2160,Info@goldenrodandgun.com,https://www.goldenrodandgun.com/,"NEW LISTING. 40-hectare recreation shooting range facility overlooking the Purcell Mountains, about 13 km from Golden. Covered archery range with field point targets at 20, 30, 40, 50, 60 yards. Open 8 AM-8 PM daily.",archery;club;outdoor;kootenays;golden,8 AM - 8 PM daily,,20-60,,Outdoor,No,Unknown,Unknown,Yes,,,No,No,,All,Unknown,Yes
CNT Rod and Gun Club (Archery Section),admin,Club,,,Clearwater,British Columbia,Canada,,51.6500,-120.0400,,cntrodandgun@gmail.com,https://www.facebook.com/p/CNT-Rod-and-Gun-Club-100063114347410/,"NEW LISTING. Non-profit organization founded in 1974 in the North Thompson Valley. Offers archery range, rifle range, and trap shooting. Hosts 3D archery shoots. Membership renewal in April.",archery;club;outdoor;3D;thompson;clearwater,Contact club,,,,Outdoor,No,Yes,Unknown,Yes,,,No,No,,All,Unknown,Yes
North Thompson Fish and Game Club (Archery Section),admin,Club,,Gorman Lake Forest Service Road,Barriere,British Columbia,Canada,,51.1790,-119.8460,778-694-5447,,https://norththompsonfishandgameclub.ca/,"NEW LISTING. Founded 2009, serving hunters and anglers with a full-service gun and archery range. Archery meets Thursdays at 6 PM. $90 individual / $100 family membership plus $10/year key rental.",archery;club;outdoor;thompson;barriere,Archery: Thu 6 PM,,,,Outdoor,No,Unknown,Unknown,Yes,$90,,No,No,,All,Unknown,Yes
Eagle Eye Archers,admin,Club,,,Prince Rupert,British Columbia,Canada,,54.3150,-130.3210,,eeacory@hotmail.com,https://eagleeyeacrhery.weebly.com/,NEW LISTING. Family-friendly archery club typically meeting Tuesday and Thursday nights. Historically 20-40 archers on meeting nights. Hosts four special archery shoots annually. Current facility location uncertain after relocation around 2020.,archery;club;northern bc;prince rupert,Tue/Thu nights,,,,Unknown,No,Unknown,Unknown,Yes,,,No,No,,All,Unknown,Unknown
